*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Steinmann P, Usubalieva J, Imanalieva C, Minbaeva G, Stefiuk K, Jeandron A, Utzinger J	2010	Rapid appraisal of human intestinal helminth infections among schoolchildren in Osh oblast, Kyrgyzstan	Acta Trop		178-184	3		116		KGZ0003
Journal	Sinuon M, Anantaphruti MT, Socheat D	2003	Intestinal helminthic infections in schoolchildren in Cambodia	Southeast Asian J Trop Med Public Health		254-258	2		34		KHM0001
Journal	Stich AH, Biays S, Odermatt P, Men C, Saem C, Sokha K, Ly CS, Legros P, Philips M, Lormand JD, Tanner M	1999	Foci of Schistosomiasis mekongi, Northern Cambodia: II. Distribution of infection and morbidity	Trop Med Int Health		674-685	10		4		KHM0003
Journal	Park SK, Kim D, Deung Y, Kim H, Yang E, Lim S, Ryang Y, Jin D, Lee K	2004	Status of intestinal parasite infections among children in Bat Dambang, Cambodia	The Korean Journal of Parasitology		201-203	4		42		KHM0005
Journal	Longfils P, Heang UK, Soeng H, Sinuon M	2005	Weekly iron and folic acid supplementation as a tool to reduce anemia among primary school children in Cambodia	Nutrition Reviews		S139-S145	12		63		KHM0006
Journal	Lee K, Bae Y, Kim D, Deung Y, Ryang Y, Kim H, Im K, Yong T	2002	Status of intestinal parasites infection among primary school children in Kampongcham, Cambodia	The Korean Journal of Parasitology		153-155	3		40		KHM0007
Journal	Khieu V, Odermatt P, Keluangkhot V, Strobel M	2006	Anemie dans une ecole du Cambodge rural: detection, prevalence et liens avec les parasitoses intestinales et la malnutrition 	Bull Soc Pathol Exot,		115-118	2		99		KHM0009
Journal	Inpankaew, T. Schar, F. Dalsgaard, A. Khieu, V. Chimnoi, W. Chhoun, C. Sok, D. Marti, H. Muth, S. Odermatt, P. Traub, R. J.	2014	High prevalence of Ancylostoma ceylanicum hookworm infections in humans, Cambodia, 2012	Emerg Infect Dis	""	976-82	6	""	20	""	KHM0015
Journal	Yong, T. S. Chai, J. Y. Sohn, W. M. Eom, K. S. Jeoung, H. G. Hoang, E. H. Yoon, C. H. Jung, B. K. Lee, S. H. Sinuon, M. Socheat, D.	2014	Prevalence of intestinal helminths among inhabitants of Cambodia (2006-2011)	Korean J Parasitol	""	661-666	6	""	52	""	KHM0016
Journal	Inpankaew, T. Schar, F. Khieu, V. Muth, S. Dalsgaard, A. Marti, H. Traub, R. J. Odermatt, P.	2014	Simple fecal flotation is a superior alternative to guadruple Kato Katz smear examination for the detection of hookworm eggs in human stool	PLoS Negl Trop Dis	""	e3313	12	""	8	""	KHM0017
Journal	Sohn, Woon-Mok Chai, Jong-Yil Yong, Tai-Soon Eom, Keeseon S. Yoon, Cheong-Ha Sinuon, Muth Socheat, Duong Lee, Soon-Hyung	2011	Echinostoma revolutum Infection in Children, Pursat Province, Cambodia	Emerg Infect Dis	""	117-119	1	""	17	""	KHM0019
Journal	Schar, F. Inpankaew, T. Traub, R. J. Khieu, V. Dalsgaard, A. Chimnoi, W. Chhoun, C. Sok, D. Marti, H. Muth, S. Odermatt, P.	2014	The prevalence and diversity of intestinal parasitic infections in humans and domestic animals in a rural Cambodian village	Parasitol Int	""	597-603	4	""	63	""	KHM0021
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		KIR0001
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			KIR0001LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	KIR0002LF
Journal	Soh CT, Lee KT, Im SW and Lee JH	1966	Clinical manifestation of Brugia malayi infection in Korea	Kisaengchunghak Chapchi		01-Jun	2		4		KOR0002LF
Journal	Kim JS, Moon OR, Lee WY and Chun SL	1973	Efficacy Of Mass Treatment For Control Of Human Filariasis	Kisaengchunghak Chapchi		54-60	1		11		KOR0005LF
Journal	Kim DC, Lee OY, Jeong EB and Jeong MG	1980	[Natural Transition Of Endemicity Of Malayan Flariasis In Inland Korea: Pattern Of Change In Microfilaria Rate Among Inhabitants Of Yongpung (Former Yongju) Area During The Period Of The Last Seven Years]	Kisaengchunghak Chapchi		171-178	2		18		KOR0006LF
Journal	Paik YH	1986	[Efrect of diethylcarbamazine against Brugia malayi infection on Cheju Island, evaluated in 1965]	Kisaengchunghak Chapchi		201-204	2		24		KOR0007LF
Journal	Kim JS, No BU and Lee WY	1987	Brugian filariasis: 10-year follow-up study on the effectiveness of selective chemotherapy with diethylcarbamazine on Che Ju island, Republic of Korea	Bull World Health Organ		67-75	1		65		KOR0008LF
Journal	Paik YH, Cho YJ, Koo DS, Ree HI and Shim JC	1988	[Studies on the current epidemiological situation of brugian filariasis in endemic areas of Korea]	Kisaengchunghak Chapchi		255-262	4		26		KOR0009LF
Journal	Chai JY, Lee SH, Choi SY, Lee JS, Yong TS, Park KJ, Yang KA, Lee KH, Park MJ, Park HR, Kim MJ and Rim HJ	2003	A survey of Brugia malayi infection on the Heugsan Islands, Korea	Korean J Parasitol		69-73	1		41		KOR0010LF
Journal	Cheun HI, Lee JS, Cho SH, Kong Y and Kim TS	2009	Elimination of lymphatic filariasis in the Republic of Korea: an epidemiological survey of formerly endemic areas, 2002-2006	Trop Med Int Health		445-449	4		14		KOR0011LF
Journal	Chai JY, Hongvanthong B	1998	A small-scale survey of intestinal helminthic infections among the residents near Pakse, Laos	Korean J Parasitol		55-58	1		36		LAO0001
Journal	Phetsouvannh R, Vanisaveth V, Hongvanthong B	2001	Intestinal helminthiasis and behavioural asepct of the population in Vientiane Province		Tokyo	64-67		Asian Parasite Control Organization,	Volume VII		LAO0002
Journal	Hohmann H, Panzer S, Phimpachan C, Southivong C, Schelp FP	2001	Relationship of intestinal parasites to the environment and to behavioral factors in children in the Bolikhamxay Province of Lao PDR	Southeast Asian J Trop Med Public Health		Apr-13	1		32		LAO0003
Journal	Vannachone B, Kobayashi J, Nambanya S, Manivong K, Inthakone S, Sato Y	1998	An epidemiological survey on intestinal parasite infection in Khammouane Province, Lao PDR, with special reference to Strongyloides infection	Southeast Asian J Trop Med Public Health		717-722	4		29		LAO0004
Journal	Kobayashi J, Vannachone B, Xeutvongsa A, Manivang K, Ogawa S, Sato Y, Pholsena K	1996	Prevalence of intestinal parasitic infection among children in two villages in Lao PDR	Southeast Asian J Trop Med Public Health		562-565	3		27		LAO0005
Journal	Siharath K, Soukphathag S, Tanyavong K, Vilaysane KD, Chanthavong M, Intarakhao C, Mahaweerawat U, Saowakontha S, Merkle A, Schelp FP	2000	Control of intestinal parasitic infection--a pilot project in Lao PDR	Southeast Asian J Trop Med Public Health		41-50			31 Suppl 2		LAO0011
Journal	Rim HJ, Chai JY, Min DY, Cho SY, Eom KS, Hong SJ, Sohn WM, Yong TS, Deodato G, Standgaard H, et al	2003	Prevalence of intestinal parasite infections on a national scale among primary schoolchildren in Laos	Parasitol Res		267-272	4		91		LAO0012
Journal	Phathammavong O, Moazzam A, Xaysomphoo D, Phengsavanh A, Kuroiwa C	2007	Parasitic infestation and nutritional status among schoolchildren in Vientiane, Lao PDR	J Paediatr Child Health		689-694	10		43		LAO0013
Journal	Erlanger TE, Sayasone S, Krieger GR, Kaul S, Sananikhom P, Tanner M, Odermatt P, Utzinger J	2008	Baseline health situation of communities affected by the Nam Theun 2 hydroelectric project in central Lao PDR and indicators for monitoring	Int J Environ Health Res		223-242	3		18		LAO0014
Journal	Sithithaworn P, Sukavat K, Vannachone B, Sophonphong K, Ben-Embarek P, Petney T, Andrews R	2006	Epidemiology of food-borne trematodes and other parasite infections in a fishing community on the Nam Ngum reservoir, Lao PDR	Southeast Asian J Trop Med Public Health		1083-1090	6		37		LAO0016
Journal	Chai JY, Han ET, Shin EH, Sohn WM, Yong TS, Eom KS, Min DY, Um JY, Park MS, Hoang EH, et al	2009	High prevalence of Haplorchis taichui, Phaneropsolus molenkampi, and other helminth infections among people in Khammouane province, Lao PDR	Korean J Parasitol		243-247	3		47		LAO0018
Journal	Kounnavong S, Vonglokham M, Houamboun K, Odermatt P, Boupha B	2011	Soil-transmitted helminth infections and risk factors in preschool children in southern rural Lao People's Democratic Republic	Trans R Soc Trop Med Hyg		160-166	3		105		LAO0019
Journal	Sayasone S, Mak TK, Vanmany M, Rasphone O, Vounatsou P, Utzinger J, Akkhavong K, Odermatt P	2011	Helminth and intestinal protozoa infections, multiparasitism and risk factors in Champasack Province, Lao People's Democratic Republic	PLoS Negl Trop Dis			4		5		LAO0020
Journal	Sayasone, S. Utzinger, J. Akkhavong, K. Odermatt, P.	2015	Repeated stool sampling and use of multiple techniques enhance the sensitivity of helminth diagnosis: a cross-sectional survey in southern Lao People's Democratic Republic	Acta Trop	""	315-21	""	""	141	""	LAO0027
Journal	Dennis E, Vorkpor P, Holzer B, Hanson A, Saladin B, Saladin K, Degremont A	1983	Studies on the epidemiology of schistosomiasis in Liberia: the prevalence and intensity of schistosomal infections in Bong County and the bionomics of the snail intermediate hosts	Acta Tropica		205-229	3		40		LBR0001
Journal	Holzer B, Saladin K, Saladin B, Dennis E, Degremont A	1983	The impact of schistosomiasis among rural populations in Liberia	Acta Tropica		239-259	3		40		LBR0002
Journal	Poindexter HA	1950	Filariasis bancrofti studies in Liberia	Am J Trop Med Hyg		519-523	4		30		LBR0002LF
Journal	Kazura JW, Neill M, Peters PA, Dennis E	1985	Swamp rice farming: possible effects on endemicity of schistosomiasis mansoni and haematobia in a population in Liberia	American Journal of Tropical Medicine and Hygiene		107-111	1		34		LBR0003
Journal	Young MD	1953	Microfilariae and trypanosomes found in a blood survey of Liberia	Trans R Soc Trop Med Hyg		346-349	4		47		LBR0003LF
Journal	Saladin B, Saladin K, Holzer B, Dennis E, Hanson A, Degremont A	1983	A pilot control trial of schistosomiasis in central Liberia by mass chemotherapy of target populations, combined with focal application of molluscicide	Acta Tropica		271-295	3		40		LBR0005
Journal	Brinkmann UK	1972	[Infections with Wuchereria bancrofti in Marshall Territory, a coastal region of Liberia]	Z Tropenmed Parasitol		369-386	4		23		LBR0005LF
Journal	Brinkmann UK	1977	Epidemiological investigations of Bancroftian filariasis in the coastal zone Liberia	Tropenmed Parasitol		71-76	1		28		LBR0007LF
Journal	Zielke E and Chlebowsky HO	1979	Studies on Bancroftian filariasis in Liberia, West Africa. I. Distribution and prevalence in the north-western savanna area	Tropenmed Parasitol		91-96	1		30		LBR0008LF
Journal	Chlebowsky HO and Zielke E	1980	Studies on Bancroftian filariasis in Liberia, West Africa. III. Efficacy of repeated treatment with diethylcarbamazine and vector control on the microfilarial reservoir in a rural population	Tropenmed Parasitol		181-193	2		31		LBR0009LF
Journal	Ben Musa NA	2007	Intestinal parasites in school aged children and the first case report on amoebiasis in urinary bladder in Tripoli, Libya	J Egypt Soc Parasitol		775-784	3		37		LBY0001
Journal	Sadaga GA, Kassem HH	2007	Prevalence of intestinal parasites among primary schoolchildren in Derna District, Libya	J Egypt Soc Parasitol		205-214	1		37		LBY0002
Journal	Baccush MM, Nayak CS, Gibreel AO	1993	Prevalence of schistosomiasis mansoni in Tauorga town, north-west Libya	J Egypt Soc Parasitol		527-533	2		23		LBY0003
Journal	Kurup R, Hunjan GS	2010	Epidemiology and control of Schistosomiasis and other intestinal parasitic infections among school children in three rural villages of south Saint Lucia	J Vector Borne Dis		228-234	4		47		LCA0001
Journal	de Silva NR, de Silva HJ, Jayapani VP	1994	Intestinal parasitoses in the Kandy area, Sri Lanka	Southeast Asian J Trop Med Public Health		469-473	3		25		LKA0001
Journal	Abdulcader MH, Rajakone P, Rajendran K and Aponso L	1966	Age, sex, and house distribution of Wuchereria bancrofti microfilaremia in Ceylon	Am J Trop Med Hyg		519-522	4		15		LKA0001LF
Journal	Udayani WI, Uduwevidane IK, Uvais AL, Wanniarachchi SL, Warnakulasuriya SN, de Silva NR	1999	Intestinal helminth infections among children in a slum community in Enderamulla	Ceylon Med J		187-188	4		44		LKA0002
Journal	Rajapakse YS	1974	Diethylcarbamazine provocation of the microfilariae of Wuchereria bancrofti	J Trop Med Hyg		182-184	8		77		LKA0002LF
Journal	de Silva NR, Pathmeswaran A, Fernando SD, Weerasinghe CR, Selvaratnam RR, Padmasiri EA, Montresor A	2003	Impact of mass chemotherapy for the control of filariasis on geohelminth infections in Sri Lanka	Ann Trop Med Parasitol		421-425	4		97		LKA0003
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			LKA0003LF
Journal	Dissanayake S	1989	Microfilaraemia, serum antibody and development of clinical disease in microfilaraemic subjects infected with Wuchereria bancrofti and treated with diethylcarbamazine citrate	Trans R Soc Trop Med Hyg		384-388	3		83		LKA0004LF
Journal	Fernando SD, Paranavitane SR, Rajakaruna J, Weerasinghe S, Silva D, Wickremasinghe AR	2000	The health and nutritional status of school children in two rural communities in Sri Lanka	Trop Med Int Health		450-452	6		5		LKA0005
Journal	Atukorala TM, Lanerolle P	1999	Soil-transmitted helminthic infection and its effect on nutritional status of adolescent schoolgirls of low socioeconomic status in Sri Lanka	J Trop Pediatr		18-22	1		45		LKA0006
Journal	Weerasooriya MV, Gunawardena NK, Itoh M, Qiu XG and Kimura E	2002	Prevalence and intensity of Wuchereria bancrofti antigenaemia in Sri Lanka by Og4C3 ELISA using filter paper-absorbed whole blood	Trans R Soc Trop Med Hyg		41-45	1		96		LKA0006LF
Journal	Weerasooriya MV, Itoh M, Islam MZ, Qiu XG, Fujimaki Y and Kimura E	2003	Prevalence and levels of filaria-specific urinary IgG4 among children less than five years of age and the association of antibody positivity between children and their mothers	Am J Trop Med Hyg		465-468	4		68		LKA0007LF
Journal	Ismail MM, Naotunne T, Hettiarachchi I	2001	Effectiveness of a bi-annual deworming programme in the plantations in Sri Lanka: an evaluation after 4 years.		Tokyo	185 - 194		APCO	VII		LKA0008
Journal	V. Weerasooriya TRW, M.	2001	Epidemiology of bancroftian filariasis in three suburban areas of Matara, Sri Lanka	Annals of Tropical Medicine And Parasitology		263-273			95		LKA0008LF
Journal	Amarasinghe Y, Weerasooriya MV	1999	Prevalence of intestinal parasites in an urban slum community in Matara	Galle Medical Journal		1-6	4		11		LKA0009
Country report	Sri Lanka MoH	2004	Programme to Eliminate Lymphatic Filariasis. Country Report WHO					Sri Lanka Ministry of Health			LKA0009LF
Journal	Chandrasena TGAN, Morel RP, de Alwis C, Sudusinghe HP, de Silva NR	2000	Intestinal parasitic infections in primary school children in Mahiyangana.								LKA0010
Journal	Selvaratnam RR, de Silva LDR, Pathmeswaran A, de Silva NR	2003	Nutritional status and productivity of Sri Lankan tea pluckers	Ceylon Med J		114-118	4		48		LKA0011
Journal	Chandrasena TGAN and Premaratnal R	2002	Evaluation of the ICT whole-blood Wuchereria bancrofii in Sri Lanka card test to detect infection due to	Transactions of the Royal Society of Tropical Medicine and Hygiene		60-63			96		LKA0011LF
Journal	Wijegunawardana NDaD, Gunawardene YINS, Manamperi A, Senarathne H and Abeyewickreme W	2012	Geographic information system (GIS) mapping of lymphatic filariasis endemic areas of Gampaha District, Sri Lanka based on epidemiological and entomological screening.	The Southeast Asian journal of tropical medicine and public health		557-566			43		LKA0013LF
Journal	Gunawardena GSa, Ismail MM, Bradley MH and Karunaweera ND	2007	Impact of the 2004 mass drug administration for the control of lymphatic filariasis, in urban and rural areas of the Western province of Sri Lanka.	Annals of tropical medicine and parasitology		335-341			101		LKA0014LF
Journal	Bouhoum K, Schwartzbrod J	1998	Epidemiological study of intestinal helminthiasis in a Marrakech raw sewage spreading zone	Zentralbl Hyg Umweltmed		553-561	5-6		200		MAR0001
Journal	Touyer	1998	Incidence of intestinal helminthoses in the children living in the waste water disposal zone of Aghroud, a suburb of Agadir (South Morocco)	Bulletin de la Societe Francaise de Parasitologie							MAR0002
Journal	el Idrissi AL, Lyagoubi M, Barkia A, Ayoujil M, Mahjour J	1999	Prevalence of intestinal parasitic disease in three provinces in Morocco	East Mediterr Health J		86-102	1		5		MAR0003
Journal	Habbari K, Tifnouti A, Bitton G, Mandil A	2000	Geohelminthic infections associated with raw wastewater reuse for agricultural purposes in Beni-Mellal, Morocco	Parasitol Int		249-254	3		48		MAR0004
Journal	Amahmid O, Bouhoum K	2005	Assessment of the health hazards associated with wastewater reuse: transmission of geohelminthic infections (Marrakech, Morocco)	Int J Environ Health Res		127-133	2		15		MAR0005
Journal	Moubarrad FZL, Assobhei O	2005	The health effects of wastewater on the prevalence of ascariasis among the children of the discharge zone of El Jadida, Morocco	International Journal of Environmental Health Research		135-142	2		15		MAR0006
Journal	Amarir F, El Mansouri B, Fellah H, Sebti F, Mohammed L, Handali S, Wilkins P, El Idrissi AL, Sadak A, Rhajaoui M	2011	National serologic survey of Haematobium schistosomiasis in Morocco: evidence for elimination	Am J Trop Med Hyg		15-19	1		84		MAR0007
Journal	Khallaayoune K, Laamrani H	1992	Seasonal patterns in the transmission of Schistosoma haematobium in Attaouia, Morocco	J Helminthol		89-95	2		66		MAR0008
Journal	Laamrani H, Mahjour J, Madsen H, Khallaayoune K, Gryseels B	2000	Schistosoma haematobium in Morocco: moving from control to elimination	Parasitol Today		257-260	6		16		MAR0009
Journal	Boisier P, Serieye J, Ravaoalimalala VE, Roux J, Esterre P	1995	Ultrasonographical assessment of morbidity in schistosomiasis mansoni in Madagascar: a community-based study in a rural population	Transactions of the Royal Society of Tropical Medicine and Hygiene		208-212	2		89		MDG0001
Journal	Randriambelo P	1950	La filariose dans la region de Farangana	Bull Soc Pathol Exot Filiales		247-248			43		MDG0001LF
Journal	Boisier P, Ramarokoto CE, Ravoniarimbinina P, Rabarijaona L, Ravaoalimalala VE	2001	Geographic differences in hepatosplenic complications of schistosomiasis mansoni and explanatory factors of morbidity	Trop Med Int Health		699-706	9		6		MDG0002
Journal	Brygoo ER	1958	La filariose humain a Madagascar	Arch Inst Pasteur Madagascar		23-39			26		MDG0002LF
Journal	Breuil J, Moyroud J, Gueguen A, Coulanges P	1982	Bilan parasitologique d'une population du nord ouest de Madagascar avant travaux d'amenagement hydraulique pour l'extension d'un complexe sucrier (Ambilobe). / Parasitological status of a population of north-western Madagascar before the construction of an hydraulic installation for the extension of a sugar factor complex (Ambilobe)	Archives de l'Institut Pasteur de Madagascar		113-124	1		50		MDG0003
Journal	Coulanges P	1982	[Data on lymphatic filariasis caused by W. bancrofti in Madagascar]	Arch Inst Pasteur Madagascar		23-33	1		50		MDG0003LF
Journal	Brutus L, Watier L, Briand V, Hanitrasoamampionona V, Razanatsoarilala H, Cot M	2006	Parasitic co-infections: does Ascaris lumbricoides protect against Plasmodium falciparum infection?	Am J Trop Med Hyg		194-198	2		75		MDG0004
Journal	Hoffmann H, Esterre P, Ravaoalimalala VA, Ehrich JH, Doehring E	2001	Morbidity of schistosomiasis mansoni in the highlands of Madagascar and comparison of current sonographical classification systems	Trans R Soc Trop Med Hyg		623-629	6		95		MDG0007
Journal	Howarth SE, Wilson JM, Ranaivoson E, Crook SE, Denning AM, Hutchings MS	1988	Worms, wells and water in western Madagascar	Journal of Tropical Medicine and Hygiene		255-264	5		91		MDG0008
Journal	Kightlinger LK, Seed JR, Kightlinger MB	1995	The epidemiology of Ascaris lumbricoides, Trichuris trichiura, and hookworm in children in the Ranomafana rainforest, Madagascar	Journal of Parasitology		159-169	2		81		MDG0009
Journal	Leutscher PD, Behets F, Rousset D, Ramarokoto CE, Siddiqi O, Ravaoalimalala EV, Christensen NO, Migliani R	2003	Sexual behavior and sexually transmitted infections in men living in rural Madagascar: implications for HIV transmission	Sex Transm Dis		262-265	3		30		MDG0010
Journal	Leutscher P, Ravaoalimalala VE, Raharisolo C, Ramarokoto CE, Rasendramino M, Raobelison A, Vennervald B, Esterre P, Feldmeier H	1998	Clinical findings in female genital schistosomiasis in Madagascar	Tropical Medicine and International Health		327-332	4		3		MDG0011
Journal	Moyroud J, Breuil J, Raveloarison G, Coulanges P	1982	Mass treatment of urinary schistosomiasis with a single dose of Oltipraz in Madagascar	Archives de l'Institut Pasteur de Madagascar		83-88	1		50		MDG0013
Journal	Moyroud J, Breuil J, Coulanges P	1982	Communaute evangelique et maladies parasitaires. (Province de Fianarantsoa Madagascar). / Parasitological diseases in an evangelical community (Province of Fianarantsoa, Madagascar)	Archives de l'Institut Pasteur de Madagascar		67-81	1		50		MDG0014
Journal	Rabarijaona LP, Boisier P, Ravaoalimalala VE, Jeanne I, Roux JF, Jutand MA, Salamon R	2003	Lot quality assurance sampling for screening communities hyperendemic for Schistosoma mansoni	Trop Med Int Health		322-328	4		8		MDG0016
Journal	Rabarijaona LP, Andriamaroson BJ, Ravaoalimalala VE, Ravoniarimbinina P, Migliani R	2001	"Identification of communities endemic for urinary bilharziosis by the ""Lot Quality Assurance Sampling"" method in Madagascar"	Arch Inst Pasteur Madagascar		41-45	1-2		67		MDG0017
Journal	Randrianarisoa J, Coulanges P	1985	Seroepidemiological study of intestinal schistosomiasis at Ampefy (Itasy Lake, Madagascar)	Archives de l'Institut Pasteur de Madagascar		33-40	1		52		MDG0018
Journal	Randrianarisoa J, Coulanges P, Moyroud J	1983	"Study of schistosomiasis in the Lake Aloatra region - the ""rice granary"" of Madagascar"	Archives de l'Institut Pasteur de Madagascar		97-104	1		51		MDG0019
Journal	Randrianasolo BS, Rabarijaona LP, Ravaoalimalala VA, Ravoniarimbinina P, Migliani R	2002	Validation of questionnaire methods to identify Schistosoma haematobium bilharziasis hyperendemic zones in Madagascar	Arch Inst Pasteur Madagascar		59-62	1-2		68		MDG0020
Journal	Raobelison A, Rabarijaona L, Ramarokoto CE, Ravoniarimbinina P, Ravaoalimalala VE, Esterre P, Boisier P	1996	Ultrasonographical assessment of morbidity in Schistosoma mansoni infections in Madagascar according to two classifications: Cairo/WHO and Managil-Hannover staging-systems	Archives de l'Institut Pasteur de Madagascar		43-45	1-2		63		MDG0021
Journal	Ravaoalimalala VE, Ravoniarimbinina P, Ravaoarimalala MC, Boisier P, Roux JF	1995	Potential spread of Schistosoma mansoni in Antananarivo and suburbs according to present epidemiological data	Archives de l'Institut Pasteur de Madagascar		128-132	2		62		MDG0022
Journal	Ravaoalimalala VE, Leutscher P, Esterre P, Roux JF	1995	Environmental monitoring of Schistosoma haematobium prevalence among school children in the region of Mahabo (Madagascar) before and after destruction of the Dabara dam	Archives de l'Institut Pasteur de Madagascar		133-135	2		62		MDG0023
Journal	Ravaoalimalala VE, Rabarijaona L, Leutscher P, Rasendramino MH, Ravoniarimbinina P, Esterre P, Boisier P	1995	Reagent strips: their interest for Schistosoma haematobium mass screening in Madagascar	Archives de l'Institut Pasteur de Madagascar		136-140	2		62		MDG0024
Journal	Serieye J, Boisier P, Ravaoalimalala VE, Ramarokoto CE, Leutscher P, Esterre P, Roux J	1996	Schistosoma haematobium infection in western Madagascar: morbidity determined by ultrasonography	Transactions of the Royal Society of Tropical Medicine and Hygiene		398-401	4		90		MDG0025
Journal	Frickmann, H. Schwarz, N. G. Rakotozandrindrainy, R. May, J. Hagen, R. M.	2015	PCR for enteric pathogens in high-prevalence settings. What does a positive signal tell us?	Infect Dis (Lond)	""	491-8	7	""	47	""	MDG0027
Journal	Schwarz, N. G. Rakotozandrindrainy, R. Heriniaina, J. N. Randriamampionona, N. Hahn, A. Hogan, B. Frickmann, H. Dekker, D. Poppert, S. Razafindrabe, T. Rakotondrainiarivelo, J. P. May, J. Hagen, R. M.	2014	Schistosoma mansoni in schoolchildren in a Madagascan highland school assessed by PCR and sedimentation microscopy and Bayesian estimation of sensitivities and specificities	Acta Trop	""	89-94	""	""	134	""	MDG0028
Journal	Iyengar M	1952	Filariasis in the Maldive Islands	Bulletin of the World Health Organization		375-403			7		MDV0001LF
Journal	Diaz E, Mondragon J, Ramirez E, Bernal R	2003	Epidemiology and control of intestinal parasites with nitazoxanide in children in Mexico	American Journal of Tropical Medicine and Hygiene		384-385	4		68		MEX0001
Journal	Faulkner CT, Borrego Garcia B, Logan MH, New JC, Patton S	2003	Prevalence of endoparasitic infection in children and its relation with cholera prevention efforts in Mexico	Revista Panamericana de Salud Publica/Pan American Journal of Public Health		31-41	1		14		MEX0002
Journal	Flisser A, Valdespino JL, Garcia-Garcia L, Guzman C, Aguirre MT, Manon ML, Gonzalez-Gonzalez G, Gyorkos TW	2008	Using national health weeks to deliver deworming to children: lessons from Mexico	Journal of Epidemiology & Community Health		314-317	4		62		MEX0003
Journal	Forrester JE, Bailar JC, III, Esrey SA, Jose MV, Castillejos BT, Ocampo G	1998	Randomised trial of albendazole and pyrantel in symptomless trichuriasis in children	Lancet (British edition)		1103-1108	9134		352		MEX0004
Journal	Guevara Y, Haro Id, Cabrera M, Garcia de la Torre G, Salazar-Schettino PM	2003	Enteroparasitoses in indigenous and mestizo individuals from the Nayarit mountain range, Mexico	Parasitologia Latinoamericana		30-34	1-2		58		MEX0005
Journal	Morales-Espinoza EM, Sanchez-Perez HJ, Garcia-Gil MdM, Vargas-Morales G, Mendez-Sanchez JD, Perez-Ramirez M	2003	Intestinal parasites in children, in highly deprived areas in the border region of Chiapas, Mexico	Salud Publica de Mexico		379-388	5		45		MEX0006
Journal	Navarrete Espinosa J, Navarrete Cadena E, Escandon Romero C, Escobedo de la Pena J	1993	Prevalence of intestinal parasites among the childhood population of Santiago Jamiltepec, Oaxaca	Revista Medica del Instituto Mexicano del Seguro Social		157-161	2		31		MEX0007
Journal	Tay J, Ruiz A, Sanchez Vega JT, Romero-Cabello R, Robert L, Becceril MA	1995	Las helmintiasis intestinales en Republica Mexicana	Bol chil parasitol		Oct-16	1-2		50		MEX0009
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		MHL0001
GAELF report	WHO	2005	Global Programme to Eliminate Lymphatic Filariasis. Annual Report on Lymphatic Filariasis 2003								MHL0001LF
Abstract	OCCGE	1969	Rapport final de la neuviem conference technique de IÕOCCGE, 21-25 April 1969. Bobo-Dioulasso, Burkina Faso.								MLI0001LF
Journal	Coulibaly G, Diallo M, Madsen H, Dabo A, Traore M, Keita S	2004	Comparison of schistosome transmission in a single- and a double-cropped area in the rice irrigation scheme, 'Office du Niger', Mali	Acta Trop		15-25	1		91		MLI0002
Book	Brengues J, BouchitŽ B, Nelson G, Ouedraogo C, Gbaguidi P, Dyemkouma A and Ochoumare J	1975	La filariose de Bancroft en Afrique de l'Ouest		Paris			ORSTOM			MLI0002LF
Journal	Dabo A, Sow MY, Sangare L, Maiga I, Keita A, Bagayoko Y, Kouriba B, Doumbo O	2003	Transmission of schistosomiasis in an urban population and prevalence of intestinal helminthiasis in Bamako, Mali 	Bull Soc Pathol Exot		187-190	3		96		MLI0003
Journal	Keiser PB, Coulibaly YI, Keita F, Traore D, Diallo A, Diallo DA, Semnani RT, Doumbo OK, Traore SF, Klion AD and Nutman TB	2003	Clinical characteristics of post-treatment reactions to ivermectin/albendazole for Wuchereria bancrofti in a region co-endemic for Mansonella perstans	Am J Trop Med Hyg		331-335	3		69		MLI0003LF
Journal	Dabo A, Sacko M, Toure K, Doumbo O, Dialo A	1995	Epidemiology of schistosomiasis in a suburban school area of Bamako (Republic of Mali)	Bull Soc Pathol Exot		29-34	1		88		MLI0004
Journal	Dabo A, Doucoure B, Koita O, Diallo M, Kouriba B, Klinkert MQ, Doumbia S, Doumbo O	2000	Reinfection with Schistosoma haematobium and mansoni despite repeated praziquantel office treatment in Niger, Mali	Med Trop (Mars)		351-355	4		60		MLI0005
